Family,Size,Method,Task,Quantization,Model_Name,FP16_Baseline,FP16_Score,Quantized_Score,Q_ret_%,Score_Diff,Passes_99.9%
Qwen,7B,LoRA,summ,INT4,aclnlp/Qwen-7B_LoRA_FP16_summ-INT4,aclnlp/Qwen-7B_LoRA_FP16_summ-FP16,0.8916666666666667,0.8850000000000001,99.25233644859813,0.006666666666666599,No
Qwen,7B,LoRA,chat,INT8,aclnlp/Qwen-7B_LoRA_FP16_chat-INT8,aclnlp/Qwen-7B_LoRA_FP16_chat-FP16,7.580000000000001,7.511666666666667,99.0985048372911,0.06833333333333425,No
Qwen,7B,LoRA,chat,INT4,aclnlp/Qwen-7B_LoRA_FP16_chat-INT4,aclnlp/Qwen-7B_LoRA_FP16_chat-FP16,7.580000000000001,7.666666666666667,101.14335971855759,-0.086666666666666,Yes
Llama,1B,LoRA,rag,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-FP16,0.7416666666666667,0.7533333333333334,101.57303370786516,-0.011666666666666714,Yes
Llama,1B,LoRA,rag,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-FP16,0.7416666666666667,0.7516666666666666,101.34831460674157,-0.009999999999999898,Yes
Llama,1B,LoRA,summ,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-FP16,0.765,0.7833333333333333,102.39651416122004,-0.018333333333333313,Yes
Llama,1B,LoRA,summ,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-FP16,0.765,0.7633333333333333,99.78213507625271,0.0016666666666667052,No
Llama,1B,LoRA,chat,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-FP16,6.6433333333333335,6.688333333333333,100.67737079779226,-0.04499999999999904,Yes
Llama,1B,LoRA,chat,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-FP16,6.6433333333333335,7.276666666666666,109.5333667837431,-0.6333333333333329,Yes
Llama,3B,LoRA,rag,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-FP16,0.7683333333333332,0.7666666666666666,99.78308026030369,0.0016666666666665941,No
Llama,3B,LoRA,rag,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-FP16,0.7683333333333332,0.7716666666666668,100.43383947939266,-0.0033333333333336324,Yes
Llama,3B,LoRA,summ,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-FP16,0.8783333333333333,0.86,97.91271347248576,0.018333333333333313,No
Llama,3B,LoRA,summ,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-FP16,0.8783333333333333,0.8716666666666666,99.24098671726755,0.00666666666666671,No
Llama,3B,LoRA,chat,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-FP16,7.586666666666666,7.658333333333334,100.94463971880494,-0.0716666666666681,Yes
Llama,3B,LoRA,chat,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-FP16,7.586666666666666,7.576666666666667,99.8681898066784,0.009999999999998899,No
Llama,7B,LoRA,rag,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-FP16,0.7400000000000001,0.7399999999999999,99.99999999999997,2.220446049250313e-16,Yes
Llama,7B,LoRA,rag,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-FP16,0.7400000000000001,0.7333333333333334,99.09909909909909,0.00666666666666671,No
Llama,7B,LoRA,summ,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-FP16,0.91,0.92,101.0989010989011,-0.010000000000000009,Yes
Llama,7B,LoRA,summ,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-FP16,0.91,0.9283333333333332,102.014652014652,-0.0183333333333332,Yes
Llama,7B,LoRA,chat,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-FP16,7.691666666666666,7.645,99.39328277356447,0.046666666666666856,No
Llama,7B,LoRA,chat,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-FP16,7.691666666666666,7.668333333333333,99.69664138678223,0.023333333333333428,No
